label,message,char_count,word_count,cleaned
safe,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
safe,Ok lar... Joking wif u oni...,29,6,ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
safe,U dun say so early hor... U c already then say...,49,11,u dun say earli hor u c alreadi say
safe,"Nah I don't think he goes to usf, he lives around here though",61,13,nah dont think goe usf live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,32,freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv
safe,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,even brother like speak treat like aid patent
safe,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,26,winner valu network custom select receivea prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
safe,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,26,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
safe,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
safe,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
safe,Oh k...i'm watching here:),26,4,oh kim watch
safe,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,eh u rememb spell name ye v naughti make v wet
safe,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,13,fine that way u feel that way gota b
